item,price
Regular burger,6.99
Cheddar cheeseburger,6.99
Cheddar bacon cheeseburger,6.99
Regular turkey burger,6.99
Cheddar turkey cheeseburger,6.99
Cheddar turkey bacon cheeseburger,6.99
Regular vegan burger,6.99
Cheddar turkey cheeseburger,6.99
Cheddar turkey bacon cheeseburger,6.99
Ultimate grilled chicken breast,6.99
Chicken tender platter,6.99
Chicken tender wrap,6.99
Falafel sandwich,6.99
Falafel platter,6.99
Beef kebab sandwich,6.99
Chicken kebab sandwich,6.99
Kebab platter,6.99
Tabboulah,6.99
Tangiers cobb salad,6.99
Chopped salad,6.99
Chopped salad wrap,6.99 
Classic chicken caesar salad,6.99
Classic chicken caesar salad wrap,6.99
Summerfields salad,6.99
Summerfields salad wrap,6.99
Caprese salad,6.99
Caprese salad wrap,6.99
Rice and beans,2.99
Chips and salsa,2.99
French fries,2.99
Shirazi salad,2.99
Onion rings,3.99 add $1.00 with bundle
Side house salad,3.99 add $1.00 with bundle 
Side cut fruit,3.99 add $1.00 with bundle 
Side credit,3.99 add $1.00 with bundle 
Hummus and pita,3.99 add $1.00 with bundle
