item,price,rating_avg,description,rater_count,filter,side,menu
Plain jane,7.50,0,description,0,none,0,ln 
Plain jane with cheese, 7.95,0,description,0,none,0,ln
Plain jane with mushroom,8.25,0,description,0,none,0,ln
Plain jane bacon cheeseburger and mushroom, 8.25,0,description,0,none,0,ln
Plain jane with bacon egg & cheese,8.25,0,description,0,none,0,ln
Blackjack,8.25,0,description,0,none,0,ln
The Club,8.25,0,description,0,none,0,ln
California,8.25,0,description,0,none,0,ln
Texican,8.25,0,description,0,none,0,ln
Korean,8.25,0,description,0,none,0,ln
Yankee,8.25,0,description,0,none,0,ln
Philly,8.25,0,description,0,none,0,ln
Portabella,7.50,0,description,0,none,0,ln 
Grateful vegan,8.25,0,description,0,none,0,ln
Curried chickpea,7.50,0,descriptin,0,none,0,ln
buffalo wings,7.25,0,description,0,none,0,ln
chipotle barbecue wings,7.25,0,description,0,none,0,ln 
garlic parmesan wings,7.25,0,description,0,none,ln 
cajun wings,7.25,0,description,0,none,ln
caribbean jerk wings,7.25,0,description,0,none,ln 
thai chili wings,7.25,0,description,0,none,ln 
mango habanero wings,7.25,0,description,0,none,ln 
honey sriracha wings,7.25,0,description,0,none,ln 
honey mustard wings,7.25,0,description,0,none,ln 
Chicken tenders,7.5,0,description,0,none,0,ln
Grilled chicken breast sandwich,7.75,0,description,0,none,0,ln
Spicy grilled chicken breast sandwich,7.75,0,description,0,none,0,ln
Beef hot dogs,4.5,0,description,0,none,0,ln
Chili dogs,5.5,0,description,0,none,0,ln
Buffalo chicken sandwhich,7.25,0,description,0,none,0,ln
Philly cheese steak wrap,7.5,0,description,0,none,0,ln
grilled cheese,3.50,0,description,0,none,ln
grilled cheese with bacon,4.00,0,description,0,none,ln
grilled ham and cheese,4.00,0,description,0,none,ln
tuna melt,6.00,0,description,0,none,ln
three-cheese quesadilla,5.25,0,description,0,none,ln
chicken quesadilla,6.50,0,description,0,none,ln
chicken fajita wrap,6.25,0,description,0,none,ln
Fruit cup,3.95,0,description,0,none,1,ln
Yogurt parfait,3.95,0,description,0,none,1,ln
Breakfast burrito,4.75,0,description,0,none,0,ln
Sausage breakfast burrito,5.25,0,description,0,none,0,ln
Bacon breakfast burrito,5.25,0,description,0,none,0,ln
Ham breakfast burrito,5.25,0,description,0,none,0,ln
Steak breakfast burrito,5.25,0,description,0,none,0,ln
Western omelet,4.5,0,description,0,none,0,ln
Vegetable omelet,4.5,0,description,0,none,0,ln
Philly steak and cheese omelet,4.5,0,description,0,none,0,ln
Chocolate chip pancakes,4,0,description,0,none,0,ln
Blueberry pancakes,4,0,description,0,none,0,ln
Egg and cheese,4,0,description,0,none,0,ln
Egg and cheese with sausage,4.5,0,description,0,none,0,ln
Egg and cheese with bacon,4.5,0,description,0,none,0,ln
Egg and cheese with ham,4.5,0,description,0,none,0,ln
Egg and sheese with steak,4.5,0,description,0,none,0,ln
Late night special,5.5,0,"2 eggs any style, bacon, and buttermilk pancakes",0,none,0,ln
Late night special with chocolate chip pancakes,6,0,description,0,none,0,ln
Late night special with blueberry pancakes,6,0,description,0,none,0,ln
Late night special with egg whites and tater tots,6,0,description,0,none,0,ln
Vegan chili,4,0,description,0,none,1,ln
Beef chili,4,0,description,0,none,1,ln
Tater tots,1.5,0,description,0,none,1,ln
Peanut butter & jelly,,0,description,0,none,1,ln
Cereal bowl,2.25,0,description,0,none,1,ln
Chili cheese fries,3.99,0,description,0,none,1,ln
Sweet potato fries,3.25,0,description,0,none,1,ln
French fries,2.75,0,description,0,none,1,ln
Onion rings,4,0,description,0,none,1,ln
Small fried mozzarella (6 pieces),4.25,0,description,0,none,1,ln
Large fried mozzarella (10 pieces),7.75,0,description,0,none,1,ln
